Country,City,House_Type,Income_Level,Market_Status,PPP_Index,Price_2015,Price_2020,Price_2025,Growth_Rate_%,Inflation_%,Interest_Rate_%,Population_Growth_%,Inaffordability_Ratio
USA,Kazan,Condo,High,Booming,0.85,155232,169816,185771,1.88,2,6.47,1.77,9.77
India,Mumbai,Villa,Middle,Booming,0.64,268702,342298,436052,5.48,5.9,4.21,3.87,11.43
India,Delhi,Townhouse,Low,Booming,1.06,464135,601996,780805,5.94,5.22,7.68,2.94,11.02
Mexico,Monterrey,Townhouse,High,Declining,0.94,499048,619657,769415,4.83,7,7.28,2.92,5.93
South Korea,Busan,Apartment,Low,Booming,1.01,455169,532640,623296,3.4,5.75,4.53,3.96,7.31
Russia,New York,Villa,Low,Declining,0.51,221836,312702,440789,8.19,2.46,6.43,3.76,10.65
Spain,Barcelona,Apartment,Low,Declining,0.36,497025,712884,1022489,8.69,2.97,1.11,1.1,10.54
South Korea,Seoul,Townhouse,Middle,Booming,0.32,154916,227188,333175,9.33,5.52,8.04,3.11,3.46
Turkey,Izmir,Condo,High,Declining,1.1,152164,206086,279116,7.09,5.87,2.52,3.92,7.39
Indonesia,Surabaya,Townhouse,High,Booming,0.35,471768,647477,888628,7.45,6.2,5.73,3.42,3.3
India,Mumbai,Villa,High,Stable,0.54,261342,285420,311716,1.84,6.24,4.54,1.45,3.03
Japan,Osaka,Condo,Low,Booming,0.95,425214,538862,682885,5.35,5.39,3.05,2.68,3.11
Italy,Milan,Condo,Low,Declining,0.74,339892,528535,821874,11.1,4.29,7.89,2.59,11.34
UK,London,Villa,Low,Stable,0.66,193593,297732,457890,10.76,2.3,2.23,0.79,10.59
France,Paris,Condo,Low,Stable,0.31,437746,568280,737740,5.96,2.02,4.61,1.15,8.62
Russia,Chicago,Apartment,Low,Booming,0.91,269387,288860,309741,1.45,5.94,8.58,3.02,10.47
UK,Birmingham,Condo,High,Stable,0.48,450000,552242,677715,4.54,2.08,8.59,3.8,8.9
South Korea,Busan,Villa,High,Declining,0.51,163285,213352,278772,6.13,7.39,2.35,3.39,5.62
Spain,Valencia,Villa,Low,Declining,1.03,464122,596453,766515,5.7,4.19,8.22,2.35,9.16
Saudi Arabia,Riyadh,Townhouse,High,Declining,0.86,118800,179939,272541,10.29,3.17,9.39,1.38,9.6
Indonesia,Bandung,Townhouse,Low,Declining,0.56,193003,235561,287502,4.41,6.49,6.01,3.59,5.77
Spain,Valencia,Villa,Middle,Booming,0.92,388827,440663,499410,2.67,4.4,5.35,1.74,5.9
Spain,Valencia,Townhouse,Low,Booming,0.92,147140,211906,305179,8.8,7.61,6.09,2.64,3.62
UK,London,Townhouse,High,Booming,1.08,178452,247740,343932,7.77,7.87,6.36,3.04,7.01
Turkey,Izmir,Townhouse,High,Stable,0.35,408920,437237,467516,1.38,6.2,1.21,3.52,4.42
UK,Manchester,Villa,High,Stable,0.76,318718,414859,540001,6.03,4.04,5.21,1.59,6.94
Russia,New York,Villa,Low,Stable,0.62,304792,359916,425010,3.62,7.93,5.51,1.18,7.29
USA,Saint Petersburg,Condo,Low,Stable,1.08,59813,85159,121246,8.48,5.29,2.53,3.36,6.32
Russia,New York,Apartment,High,Booming,0.56,422656,592221,829814,8.02,7.39,6.67,3.09,10.53
Japan,Osaka,Townhouse,Low,Booming,0.35,399222,553936,768608,7.75,2.42,5.58,0.79,9.62
USA,Moscow,Condo,Middle,Stable,0.79,479108,551321,634419,3.01,5.64,2.9,2.65,9.5
Saudi Arabia,Dammam,Apartment,Low,Declining,0.95,416783,633282,962243,10.39,2.46,4.09,2.9,7.49
China,Shenzhen,Apartment,Low,Stable,0.47,298719,380595,484912,5.48,4.34,8.29,1.93,3.24
Canada,Toronto,Villa,Middle,Declining,0.35,435310,687063,1084412,11.57,6.13,4.28,3.79,8.97
Germany,Munich,Apartment,High,Booming,1.06,394634,496657,625056,5.17,4.87,2.68,1.52,10
France,Lyon,Condo,Low,Declining,1.1,376007,491007,641180,6.12,2.52,1.51,1.81,7.17
UK,Birmingham,Condo,Low,Declining,0.85,52920,84373,134520,11.89,4.18,8.63,2.37,4.17
UAE,Sharjah,Villa,Low,Declining,1.02,369422,495059,663423,6.8,5.09,1.79,2.8,11.2
Brazil,Rio de Janeiro,Apartment,Low,Declining,0.38,168580,260670,403067,10.93,3.71,6.89,2.37,8.37
Australia,Brisbane,Apartment,High,Declining,0.67,184996,199184,214460,1.53,6.47,7.71,2.85,8.79
South Korea,Incheon,Villa,High,Stable,0.52,60055,89770,134188,9.9,4.95,3.76,0.86,3.56
UAE,Sharjah,Apartment,High,Stable,0.61,412132,640988,996927,11.11,7.38,9.28,3.68,7.75
Indonesia,Jakarta,Condo,High,Declining,0.5,409121,477666,557695,3.35,3.6,3.1,2.3,5.9
Saudi Arabia,Dammam,Apartment,Low,Booming,0.44,253928,388675,594925,10.61,5.42,8.91,1.19,4.5
Spain,Barcelona,Condo,Middle,Declining,0.82,258498,365282,516178,8.26,6.77,7.76,3.8,6.58
UK,London,Townhouse,Middle,Declining,0.49,297911,330952,367657,2.22,3.73,2.87,1.89,4
China,Beijing,Condo,Middle,Booming,0.33,345557,478817,663466,7.71,6.25,6.94,0.9,5.62
Saudi Arabia,Riyadh,Villa,High,Booming,0.42,429338,627175,916175,9.22,3.21,4.07,3.88,8.35
UAE,Sharjah,Condo,Middle,Declining,1.02,169066,197051,229669,3.31,6.7,7.17,2.88,7.97
South Korea,Seoul,Villa,Middle,Booming,0.81,381064,456706,547362,3.97,4.12,8.84,1.58,7.92
Germany,Berlin,Condo,Low,Stable,0.93,499966,644661,831233,5.79,4.57,8.58,3.32,9.58
France,Marseille,Apartment,Low,Declining,0.72,195773,271106,375428,7.7,7.26,8.95,0.88,6.86
Japan,Tokyo,Villa,High,Booming,0.72,489927,697116,991926,8.46,4.44,1.23,2.48,3.86
Spain,Valencia,Townhouse,Low,Booming,1.05,388633,506498,660109,6.07,4.58,9.08,1.51,5.24
Japan,Tokyo,Townhouse,Middle,Declining,1.15,414161,621798,933532,10.03,3.17,2.29,0.59,5.13
Australia,Melbourne,Condo,Middle,Stable,1,158017,229284,332693,9.02,3.51,4.56,3.94,5.2
South Africa,Durban,Condo,Low,Stable,0.64,185489,205948,228662,2.21,4.94,4.41,2.93,10.36
Canada,Montreal,Townhouse,Low,Declining,0.79,64488,89665,124671,7.81,2.33,6.55,2.9,4.78
Turkey,Ankara,Apartment,Low,Stable,1.04,459988,688693,1031110,9.94,3.83,6.28,3.7,5.89
UAE,Dubai,Apartment,Middle,Declining,1.04,54264,57086,60055,1.04,6.56,7.85,3.26,11.37
Brazil,Sao Paulo,Apartment,High,Declining,0.41,154393,238854,369519,10.94,3.06,7.14,2.36,3.75
Germany,Frankfurt,Condo,Low,Booming,0.56,284167,431591,655498,10.38,6.25,6.6,2.24,5.69
UK,London,Villa,Low,Stable,0.41,234084,249460,265846,1.31,3.27,4.89,1.97,3.4
Saudi Arabia,Jeddah,Townhouse,Middle,Declining,0.83,297358,325000,355211,1.86,7.66,1.89,3.49,3
Turkey,Izmir,Apartment,Middle,Declining,1.09,58874,86356,126667,9.34,4.17,7.64,1.91,3.64
Russia,Chicago,Apartment,High,Booming,0.99,82064,127787,198985,11.14,2.31,5.31,3.03,6.54
UAE,Dubai,Villa,High,Stable,0.5,391591,580088,859320,9.63,7.54,4.39,2.27,6.27
Japan,Osaka,Condo,Middle,Stable,0.53,387965,479838,593468,4.74,4.57,4.63,2.99,11.26
Spain,Valencia,Villa,High,Booming,0.9,262212,387697,573235,9.57,5.85,1.55,0.83,3.34
Australia,Melbourne,Condo,Low,Booming,0.71,421634,515319,629821,4.44,4.3,9.19,3.43,8.99
Spain,Valencia,Villa,Low,Stable,0.54,102669,108709,115105,1.18,2.64,3.63,2.43,3.58
Turkey,Izmir,Apartment,Middle,Booming,0.42,131486,183764,256827,7.95,5.69,5.96,1.38,6.34
South Africa,Cape Town,Townhouse,Low,Stable,0.39,151907,234505,362014,10.87,7.88,6.83,3.71,8.78
Saudi Arabia,Dammam,Townhouse,Middle,Booming,0.33,498543,550603,608099,2.09,6.1,3.28,1.87,8.81
Indonesia,Surabaya,Condo,Middle,Stable,0.69,162746,200819,247800,4.68,4.05,9.63,3.3,7.13
UK,London,Townhouse,Middle,Stable,0.48,414957,471578,535925,2.73,3.26,4.29,3.58,4.19
USA,Saint Petersburg,Townhouse,Middle,Stable,0.41,272289,327298,393421,4.04,5.41,5.06,2.02,4.01
China,Shenzhen,Condo,High,Stable,0.43,419485,644848,991283,10.74,3.41,2.02,0.69,8.47
South Africa,Durban,Villa,Middle,Stable,0.94,217764,310058,441467,8.48,6.28,9.42,0.73,4.73
UK,Manchester,Condo,Middle,Stable,0.36,440597,654694,972824,9.72,5.45,1.75,1.46,5.68
India,Mumbai,Villa,Low,Stable,0.8,166120,181092,197413,1.8,6.38,3.69,2.08,4.15
Brazil,Rio de Janeiro,Condo,Low,Declining,1.02,304489,470702,727644,10.92,4.97,9.47,3.62,8.19
Australia,Melbourne,Condo,High,Booming,1.14,195390,244453,305836,5.02,2.27,6.3,3.03,9.96
USA,Saint Petersburg,Apartment,Middle,Stable,0.43,249872,286671,328891,2.95,5.97,2.42,3.66,5.08
Canada,Montreal,Apartment,Low,Declining,0.56,432908,563714,734044,6.04,2.14,5.45,0.8,11.87
South Africa,Cape Town,Apartment,Low,Stable,0.83,165440,225005,306017,7.2,2.46,8.2,3.74,10.87
Canada,Toronto,Apartment,High,Declining,0.61,196596,210219,224787,1.39,5.91,5.81,2.11,11.17
China,Shenzhen,Condo,Middle,Declining,0.45,54350,59259,64611,1.81,3.34,1.3,2.26,5.83
Japan,Osaka,Apartment,High,Booming,0.46,387538,450493,523674,3.25,6.13,4.14,2.29,11.4
China,Shenzhen,Condo,Middle,Booming,0.33,275119,418162,635579,10.4,5.53,3.49,1.89,9.12
Russia,New York,Apartment,Middle,Declining,1.1,68480,74598,81263,1.79,3.95,3.1,1.43,4.99
Germany,Berlin,Apartment,Middle,Declining,0.48,108781,170098,265978,11.27,2.87,2.84,1.36,11.4
Indonesia,Bandung,Townhouse,Middle,Declining,0.98,405365,448989,497308,2.15,7.02,4.67,1.42,8.18
Canada,Vancouver,Apartment,High,Stable,1.04,400393,616405,948955,10.79,7.57,3.14,1.98,3.13
South Korea,Incheon,Apartment,Middle,Declining,1.09,119557,182183,277612,10.48,3.98,4.31,0.64,5.94
France,Marseille,Villa,Low,Stable,1.1,61496,78314,99732,5.47,2.19,4.34,1.1,5.27
Canada,Toronto,Villa,High,Stable,1.09,246222,295612,354908,4.01,5.54,2.28,1.41,7.92
UAE,Dubai,Villa,Middle,Booming,0.51,355607,469516,619911,6.41,6.63,9.53,0.91,6.01
Italy,Naples,Villa,Middle,Declining,0.59,118032,176537,264041,9.91,6.56,5.36,2.38,3.54
Spain,Valencia,Villa,Low,Declining,0.8,406104,554577,757334,7.31,3.59,7.01,1.77,7.9
Brazil,Rio de Janeiro,Condo,Middle,Stable,0.74,221529,320194,462803,8.91,7.3,1.05,3.77,7.6
Italy,Rome,Villa,Middle,Declining,0.93,435031,568545,743036,6.14,7.01,2.6,1.06,8.92
Japan,Tokyo,Townhouse,Low,Declining,1.08,451592,634061,890258,8.08,5.15,3.98,3.93,5.88
Italy,Naples,Condo,Low,Declining,0.97,289392,400716,554864,7.69,4.36,9.68,2.5,11.44
Turkey,Istanbul,Apartment,Middle,Declining,0.31,307702,444461,642002,8.89,6.47,9.14,0.52,3
USA,Kazan,Condo,Low,Stable,0.73,63182,100206,158927,11.72,3.33,5.25,0.71,7.7
USA,Moscow,Villa,Middle,Booming,0.64,70097,86522,106796,4.69,4.35,9.91,1.23,7.9
Saudi Arabia,Riyadh,Apartment,Middle,Declining,1.19,406409,648771,1035667,11.93,7.81,5.41,2.94,3.99
Japan,Osaka,Condo,High,Declining,0.7,414058,549842,730155,6.56,6.22,7.71,1.39,10.88
UAE,Dubai,Apartment,Low,Stable,0.71,144583,220631,336678,10.52,4.51,7.75,2.42,6.44
Brazil,Sao Paulo,Townhouse,Low,Booming,1.03,313011,395900,500738,5.3,2.66,9.06,0.62,10.77
Russia,Los Angeles,Apartment,Low,Stable,0.62,337702,525874,818896,11.14,2.91,6.1,3.18,9.82
Germany,Frankfurt,Condo,High,Declining,0.77,331133,485652,712277,9.33,7.05,7.86,1.74,11.97
Italy,Naples,Villa,Middle,Booming,0.69,61009,76227,95241,4.99,2.77,2.09,1.49,3.48
France,Lyon,Villa,High,Booming,0.92,83295,96773,112432,3.24,2.56,1.57,1.44,8.15
Australia,Melbourne,Townhouse,High,Stable,1.17,444000,680104,1041758,10.64,3.06,3.38,0.77,10.01
China,Beijing,Apartment,Low,Booming,0.36,300513,356508,422937,3.73,3.46,9.92,3.15,10.53
Japan,Tokyo,Townhouse,High,Booming,0.81,441956,620958,872458,8.1,7.68,3.53,2.58,9.21
UK,Birmingham,Condo,Middle,Booming,0.65,445869,708437,1125630,11.78,4.96,4.52,2.15,10.67
Turkey,Ankara,Townhouse,High,Booming,0.88,70148,94572,127502,6.96,2.1,8.01,1.65,7.25
South Korea,Busan,Condo,Low,Stable,1.02,70902,80630,91692,2.74,4.39,3.07,1.68,11.98
Mexico,Monterrey,Apartment,High,Declining,1.04,447756,700908,1097187,11.31,4.05,3.67,1.32,10.47
Mexico,Monterrey,Condo,Middle,Booming,0.91,156277,196495,247062,5.15,5.04,5.75,3.61,6.43
Indonesia,Jakarta,Villa,Middle,Declining,1.12,248615,363104,530315,9.21,7.58,9.17,0.7,4.85
UAE,Sharjah,Villa,Middle,Stable,0.73,244199,342487,480335,8.05,7.67,2.01,2.08,4.73
USA,Saint Petersburg,Villa,High,Stable,1.1,484061,635711,834870,6.27,2.62,8.07,2.94,6.19
Spain,Madrid,Apartment,Low,Stable,1.1,489124,663654,900458,7.14,5.39,3.68,2.55,6.96
Australia,Melbourne,Townhouse,Middle,Stable,0.57,80233,95397,113426,3.78,3.19,5.88,2.61,8.48
Russia,Los Angeles,Villa,High,Declining,0.65,239553,361446,545360,10.18,4.86,9.89,2.04,8.85
South Africa,Johannesburg,Apartment,Low,Declining,0.35,344003,522294,792991,10.37,7.65,9.98,1.49,8.18
USA,Saint Petersburg,Villa,High,Stable,0.71,303718,345205,392360,2.73,7.14,9.19,2.07,5.52
UAE,Dubai,Apartment,Low,Declining,0.43,357694,437005,533901,4.43,7.46,7.04,2.76,8.03
Italy,Naples,Condo,Low,Declining,0.34,469365,654936,913875,7.91,7.96,5.84,2.99,3.51
Germany,Munich,Apartment,Low,Declining,0.87,394092,582541,861101,9.56,6.62,3.04,3.91,11.96
Italy,Naples,Condo,Low,Stable,0.37,471401,570017,689262,4.18,6.14,4.04,3.89,3.91
Saudi Arabia,Dammam,Apartment,Middle,Declining,0.75,242622,298258,366652,4.59,5.87,2.18,3.01,11.83
Indonesia,Bandung,Apartment,High,Booming,1.02,437008,545298,680423,4.96,3.95,5.65,0.66,11.51
Spain,Madrid,Condo,High,Booming,0.43,456356,500152,548152,1.92,6.94,2.37,0.63,9.48
China,Beijing,Villa,Low,Booming,0.55,371523,503524,682425,7.11,2.65,9.39,2.08,9.61
Turkey,Izmir,Villa,High,Stable,0.75,321963,391676,476484,4.33,3.2,5.88,2.04,6.51
Russia,Los Angeles,Apartment,High,Booming,0.91,360728,387875,417065,1.51,4.03,4.71,0.84,5.12
Germany,Berlin,Townhouse,High,Booming,0.35,498309,725093,1055087,9.1,2.52,1.18,3.02,6.95
India,Delhi,Condo,Middle,Stable,1.01,465564,642299,886126,7.59,3.12,8.04,3.85,8.22
India,Delhi,Apartment,Middle,Declining,0.91,201864,254316,320397,5.2,6.41,9.35,2.7,10.11
UK,Manchester,Apartment,Low,Stable,0.45,145382,195192,262069,6.85,3.06,6.71,1.52,10.12
France,Paris,Townhouse,Low,Declining,1.03,258704,297367,341807,2.99,5.88,9.94,2.68,3.32
UK,London,Townhouse,Low,Stable,0.32,194163,224779,260222,3.15,6.88,8.6,1.41,5.93
Saudi Arabia,Jeddah,Apartment,High,Stable,0.51,458772,608542,807204,6.53,5.94,4.74,2.71,6.47
Spain,Valencia,Condo,High,Booming,0.61,335516,461363,634413,7.5,3.76,2.34,1.79,6.74
China,Beijing,Apartment,Middle,Stable,0.87,461538,493800,528318,1.4,3.46,2.74,2.26,6.87
South Africa,Durban,Townhouse,Middle,Declining,0.96,159087,219059,301638,7.54,7.3,9.2,3.86,9.96
Italy,Naples,Villa,High,Booming,1.12,155539,180218,208813,3.17,2.04,7.36,3.78,4.68
South Africa,Cape Town,Townhouse,Middle,Stable,0.87,385907,602087,939369,11.2,5.88,9.73,1.71,6.15
China,Shanghai,Condo,Middle,Stable,0.79,222576,233879,245757,1.02,6.39,7.77,3.11,6.11
Germany,Frankfurt,Townhouse,High,Declining,0.77,211988,224457,237660,1.18,5.37,2.11,0.78,9.8
South Africa,Johannesburg,Apartment,Low,Stable,0.31,481554,642099,856169,6.67,7.9,1.52,2.54,6.14
UK,London,Condo,Low,Declining,1.06,212550,253629,302648,3.87,7.15,4.37,0.56,6.51
Russia,Chicago,Villa,High,Booming,0.89,164462,211760,272661,5.75,2.34,6.29,3.15,6.72
France,Paris,Condo,Low,Booming,0.68,89727,104179,120959,3.22,2.93,5.34,2.35,11.54
South Korea,Seoul,Villa,Low,Declining,0.37,319941,428584,574120,6.79,5.1,8.86,1.22,3.37
Japan,Yokohama,Villa,Middle,Stable,0.91,205321,217573,230557,1.19,3.51,3.78,2.66,4.55
Japan,Yokohama,Townhouse,Low,Declining,0.67,267114,347937,453217,6.05,7.84,1.41,3.83,8.24
Australia,Melbourne,Condo,High,Booming,1.02,243677,316685,411567,5.99,7.28,9.06,1.34,4.79
France,Lyon,Apartment,High,Stable,0.75,455125,558572,685533,4.55,5.91,7.37,3.23,8.08
Japan,Osaka,Condo,High,Booming,0.66,485157,672540,932297,7.72,6.37,4.1,2.84,5.32
Canada,Vancouver,Townhouse,Low,Stable,0.52,371625,496776,664074,6.74,6.1,3.42,2.6,7
Germany,Munich,Condo,High,Booming,0.84,180896,261123,376930,8.87,6.84,3.34,1.55,8.95
Brazil,Sao Paulo,Apartment,Middle,Declining,0.93,366845,522932,745431,8.51,4.36,4.55,1.39,4.41
Mexico,Guadalajara,Townhouse,Low,Stable,0.92,91935,143950,225396,11.32,6.96,8.72,3.67,6.68
Germany,Munich,Townhouse,Middle,Stable,1.06,121128,128626,136588,1.24,6.71,1.67,3.96,9.07
Brazil,Rio de Janeiro,Apartment,Low,Declining,0.98,160612,228169,324143,8.41,2.26,8.54,1.09,9.28
Indonesia,Jakarta,Condo,Low,Booming,0.5,80804,106243,139690,6.3,3.02,7.56,1.33,6.08
Mexico,Mexico City,Condo,Low,Declining,0.81,178236,224202,282022,5.16,6.89,2.61,0.79,5.96
UK,Birmingham,Apartment,Low,Declining,0.68,294197,369168,463244,5.1,6.74,1.35,2.01,6.44
Saudi Arabia,Dammam,Townhouse,Low,Stable,0.88,484824,645159,858517,6.61,7.92,3.72,0.61,4.49
USA,Kazan,Apartment,Middle,Booming,0.66,192350,212235,234176,2.07,4.6,4.04,0.93,5.67
Spain,Valencia,Townhouse,High,Declining,1.1,185922,268225,386962,8.85,5.67,4.84,1.34,6.32
France,Lyon,Apartment,Middle,Booming,0.83,207839,242796,283633,3.36,2.7,8.92,2.04,8.63
China,Beijing,Apartment,High,Stable,0.74,442655,597945,807712,7.02,4.88,9.32,3.02,4
Turkey,Istanbul,Apartment,High,Declining,0.46,404205,610236,921285,10.19,5.27,5.99,2.71,6.95
Saudi Arabia,Jeddah,Condo,Middle,Stable,0.91,98817,156002,246281,11.57,6.5,6.68,1.61,4.45
India,Mumbai,Townhouse,Low,Declining,0.67,347710,486286,680090,7.97,4.3,6.52,3.35,3.24
Italy,Milan,Townhouse,High,Declining,0.71,391350,528471,713636,7.01,5.91,5.65,3.97,3.49
Indonesia,Surabaya,Condo,Middle,Stable,0.74,91137,103704,118003,2.76,4.3,2.4,3.87,11.52
USA,Moscow,Townhouse,Low,Booming,0.6,337886,453972,609941,6.87,6.89,6.65,0.5,9.87
Turkey,Izmir,Condo,High,Booming,0.97,279375,432083,668262,10.93,7.45,5.72,2.63,11.97
UK,London,Villa,Low,Stable,0.57,196078,225592,259550,3.01,7.38,7.7,0.87,11.84
South Korea,Busan,Condo,Middle,Booming,0.96,432735,465832,501460,1.53,5.03,7.29,2.4,9
Canada,Vancouver,Apartment,High,Booming,1.04,218452,331340,502567,10.34,2.98,3.44,0.65,6.28
UK,London,Apartment,High,Booming,0.64,412372,581123,818932,8.18,4.62,6.87,0.68,4.62
Germany,Frankfurt,Villa,Middle,Stable,0.86,338615,499719,737473,9.52,4.42,7.5,2.89,11.67
India,Delhi,Villa,Middle,Booming,0.49,298256,411882,568797,7.62,7.99,2.81,2.33,6.12
UAE,Sharjah,Villa,Middle,Stable,0.77,154458,166226,178890,1.52,5.44,4.02,1.14,5.92
Germany,Munich,Townhouse,Middle,Stable,0.34,477699,654272,896111,7.39,6.89,4.81,3.66,7.35
France,Paris,Condo,Low,Stable,0.82,271307,394292,573025,9.07,5.4,3.44,1.01,8.46
Saudi Arabia,Jeddah,Condo,High,Stable,0.74,93189,118125,149735,5.35,5.09,8.44,0.77,6.14
UK,Birmingham,Townhouse,High,Booming,1.04,341791,413388,499983,4.19,7.07,5.44,2.24,11.79
France,Marseille,Townhouse,Low,Declining,1.15,211340,238247,268580,2.55,3.95,1.27,0.57,6.56
South Africa,Durban,Villa,Low,Stable,1.15,442111,588579,783572,6.63,5.39,1.05,1.25,3.22
South Korea,Incheon,Townhouse,High,Stable,0.98,115541,176543,269754,10.56,5.86,3.06,1.05,8.65
Mexico,Monterrey,Apartment,Middle,Declining,1.11,373262,463480,575503,4.83,5.52,3.8,4,9.74
USA,Kazan,Condo,High,Declining,0.85,240467,334245,464595,7.8,4.05,1.26,1.88,11.37
Italy,Naples,Apartment,High,Booming,0.86,87780,134896,207301,10.73,3.61,3.19,1.54,8.19
USA,Saint Petersburg,Condo,High,Booming,0.79,271136,391696,565861,8.89,3.9,8.04,1.11,10.04
Australia,Sydney,Apartment,Low,Booming,0.9,357444,469986,617964,6.3,6,1.72,3.48,3.5
Russia,New York,Villa,Low,Declining,0.43,309555,450922,656847,9.13,2.46,9.29,3.91,8.45
India,Bangalore,Apartment,High,Booming,0.73,383628,472091,580954,4.61,4.96,9.25,3.84,11.34
Mexico,Mexico City,Townhouse,Low,Declining,0.54,154611,187654,227758,4.27,4.65,3.83,1.81,8.59
South Korea,Busan,Townhouse,Middle,Declining,0.99,381001,570714,854892,9.96,2.19,1.43,3.26,7.8
Indonesia,Jakarta,Condo,Low,Stable,0.82,73664,87691,104390,3.81,5.83,8.73,3.71,7.5
China,Shenzhen,Apartment,Middle,Booming,0.79,424872,571748,769398,6.91,5.1,9.15,3.26,11.18
Turkey,Izmir,Townhouse,Low,Stable,0.5,285969,432774,654943,10.27,2.67,8.15,1.14,10.27
Russia,Los Angeles,Townhouse,Low,Declining,0.85,136956,179460,235154,6.21,6.09,6.7,2,11.09
Germany,Berlin,Villa,Middle,Booming,0.77,277640,301028,326386,1.68,7.53,2.59,2.35,10.23
Saudi Arabia,Riyadh,Townhouse,High,Declining,0.49,287318,339718,401675,3.65,6.56,6.08,3.5,11.05
UK,London,Condo,Low,Declining,0.88,376426,508955,688143,7.04,4.31,6.83,3.68,6.75
South Korea,Busan,Apartment,High,Stable,0.58,224797,289868,373776,5.79,2.44,5.49,2.23,8.3
China,Beijing,Villa,High,Declining,0.63,325898,499608,765909,10.66,7.73,6.25,0.65,11.72
South Africa,Durban,Townhouse,High,Declining,0.94,201184,227526,257317,2.62,2.86,2.51,0.66,11.12
USA,Kazan,Townhouse,High,Declining,0.79,364982,549465,827198,10.11,6.75,8.94,3.89,6.95
Mexico,Mexico City,Townhouse,Low,Booming,1.16,375480,408848,445182,1.78,6.09,7.18,3.67,6.36
UK,Manchester,Condo,High,Declining,0.83,55484,68392,84303,4.65,2.37,5.7,3.36,4.86
South Korea,Busan,Villa,High,Stable,0.77,141804,158307,176730,2.33,5.07,1.71,2.56,3.28
Mexico,Mexico City,Villa,Middle,Stable,0.4,297499,409142,562683,7.51,2.17,6.16,3.43,9.5
Mexico,Monterrey,Townhouse,Low,Booming,0.42,316614,449509,638185,8.39,2.22,8.7,3.67,10.65
Canada,Toronto,Townhouse,Middle,Booming,1.04,385234,538707,753321,7.97,6.07,8.26,2.82,5.95
Australia,Melbourne,Villa,Middle,Declining,0.64,453676,480632,509190,1.19,6.19,9.59,2.97,11.95
France,Lyon,Apartment,Middle,Booming,0.92,65463,98513,148248,10.1,3.71,5.01,1.59,5.42
Brazil,Sao Paulo,Villa,Low,Booming,0.69,220438,308247,431032,7.97,6.88,3.67,1.25,9
Turkey,Istanbul,Condo,Low,Stable,0.9,455509,482279,510623,1.18,7.12,5.69,2.67,3.82
Turkey,Izmir,Apartment,High,Declining,0.69,152286,181194,215588,3.8,5.02,8.31,3.1,8.32
Saudi Arabia,Dammam,Condo,Middle,Stable,0.79,242288,384024,608674,11.7,5.36,3.29,1.31,8.5
Japan,Tokyo,Villa,High,Declining,0.77,53464,80545,121345,10.13,6.22,6.96,0.74,6.26
Australia,Melbourne,Townhouse,Middle,Declining,1.14,438165,528887,638392,4.14,2.94,5.04,1.75,9.14
Australia,Brisbane,Townhouse,Middle,Declining,1.17,213351,231320,250802,1.68,7.39,1.34,3.83,8.98
Japan,Yokohama,Condo,Low,Stable,1.15,139847,149970,160825,1.45,4.93,5.06,1.66,11.62
Spain,Madrid,Townhouse,Low,Booming,1.04,347712,396243,451547,2.79,6.41,7.54,1.99,11.32
Italy,Milan,Condo,High,Booming,0.45,170302,184739,200400,1.7,6.77,6.6,1.6,4.47
UK,London,Villa,High,Declining,0.34,125036,162459,211085,5.99,3.48,3.33,3.56,7.64
Brazil,Brasilia,Villa,Low,Declining,0.96,66070,82643,103373,5.02,4.88,2.68,0.92,10.83
Indonesia,Surabaya,Townhouse,Middle,Booming,1.15,85463,106142,131824,4.84,7.75,1.75,2.75,11.75
Germany,Munich,Townhouse,Middle,Declining,1.18,262050,298610,340269,2.79,3.21,9.01,3.69,8.47
UAE,Sharjah,Villa,High,Booming,0.99,382969,541519,765709,8.28,6.96,7.17,2.37,5.13
Spain,Barcelona,Condo,Middle,Stable,0.97,263047,318849,386488,4.24,6.81,7.27,3.78,4.49
Germany,Berlin,Condo,Middle,Booming,0.88,159908,247373,382678,10.94,2.6,6.91,3.27,6.19
South Korea,Incheon,Villa,High,Booming,1.16,432829,524606,635843,4.24,2.05,3.67,1.48,11.01
Spain,Madrid,Condo,High,Booming,1.17,81698,106960,140033,6.18,5.29,1.84,1.82,5.85
Spain,Barcelona,Villa,Low,Declining,0.78,347536,499380,717568,8.74,2.82,8.32,2.87,11
Italy,Rome,Apartment,Low,Declining,0.7,452250,690214,1053387,10.52,4.63,4.43,3.76,9.44
Japan,Osaka,Apartment,Middle,Stable,1.14,408639,566011,783989,7.7,2.7,3.62,3.89,5.87
India,Bangalore,Townhouse,High,Stable,0.38,368399,535543,778519,9.07,3.71,3.68,2.14,3.2
Indonesia,Jakarta,Townhouse,Low,Booming,1.01,192690,292806,444939,10.39,6.82,6.95,1.64,7.65
Mexico,Mexico City,Townhouse,Low,Stable,0.7,202497,307081,465681,10.33,4.9,8.49,0.87,4.27
Canada,Toronto,Villa,Low,Stable,1.18,314496,418397,556624,6.61,5.14,2.94,3.02,3.76
UAE,Abu Dhabi,Condo,High,Stable,0.82,306846,476472,739867,11.06,5.16,2.23,2.5,3.82
India,Bangalore,Townhouse,High,Stable,0.48,63999,85266,113601,6.65,2.51,5.22,3.77,9.48
